,time,dist,area
273,29,50.93378054,546
274,29,65.36436338,651
275,29,53.45091206,364
276,29,68.83676343,507
279,30,58.50213671,14641
280,30,60.1040764,345
281,30,48.97448315,627
282,30,22.36067977,988
283,30,42.26405092,798
284,30,66.77200012,945
285,30,52.28049349,588
286,30,51.5800349,527
287,30,66.68020696,444
291,31,48.99489769,475
292,31,21.1896201,1216
293,31,42.03867267,744
294,31,68.41052551,1020
295,31,52.06966487,594
296,31,51.39309292,580
297,31,67.9797764,492
298,31,83.20606949,714
302,32,66.59767263,496
303,32,52.40467536,544
304,32,51.05389309,525
305,32,65.29931087,720
306,32,41.62931659,768
307,32,14.31782106,672
308,32,28.04460732,527
309,32,49.88236161,308
310,32,57.80138407,448
313,33,66.94027188,544
314,33,53.48831648,432
315,33,49.03060269,728
316,33,66.4003012,960
317,33,43.20300915,725
318,33,28.35930182,350
319,33,14.7732867,850
320,33,51.87725899,350
321,33,60.82968026,450
323,34,73.78346698,560
324,34,66.97947447,630
325,34,52.5023809,595
326,34,48.93107397,600
327,34,68.63854602,1044
328,34,42.15447782,572
329,34,28.14693589,390
330,34,14.57737974,765
331,34,61.20661729,294
332,34,52.32829063,378
334,35,68.15423685,580
335,35,47.36296021,1140
336,35,63.89053138,884
337,35,44.47752241,630
338,35,12.81600562,612
339,35,24.90983741,429
340,35,49.64876635,320
341,35,57.7169819,442
343,36,67.31456009,638
344,36,47.87744772,952
345,36,67.41290678,899
346,36,47.16990566,484
347,36,26.30589288,360
348,36,13.23820229,784
349,36,53.42518133,550
351,37,71.56290939,528
352,37,49.96248593,560
353,37,62.66179059,731
354,37,46.93080012,483
355,37,66.80007485,812
356,37,45.06939094,522
357,37,24.68299009,630
358,37,11.18033989,700
359,37,54.3783045,560
