time,dist,area
271,-5,78
271,27.73084925,134
271,21.40093456,71
272,27.01851217,165
272,29.27456234,62
272,19.10497317,103
272,-5.830951895,63
272,27.31300057,134
272,21.40093456,71
273,27.20294102,133
273,19.02629759,132
273,-5.385164807,71
273,28.63564213,147
273,19.84943324,78
273,28.60069929,123
274,22.36067977,165
274,-4,78
274,23.34523506,123
274,17.80449381,71
274,31.76476035,63
275,22.36067977,154
275,-4,78
275,23.53720459,123
275,31.76476035,71
276,22.36067977,154
276,-3.16227766,78
276,23.34523506,113
276,18.43908891,79
276,38.28837944,63
277,22.36067977,154
277,-3.16227766,78
277,23.34523506,123
278,21.47091055,154
278,-4.123105626,70
278,23.19482701,133
278,16.64331698,64
278,37.64306045,57
278,25.3179778,142
279,21.47091055,165
279,-3,78
279,24.33105012,123
279,14.4222051,87
280,40.31128874,32
280,18.43908891,143
280,30.08321791,107
280,-8,63
280,17.2626765,114
280,7.211102551,82
281,25.70992026,99
281,18.86796226,143
281,30.8058436,107
281,-7.280109889,57
281,7.280109889,76
281,18.68154169,113
281,31.38470965,76
282,26.92582404,88
282,19.23538406,143
282,30.59411708,107
282,-7.280109889,87
282,6.08276253,85
282,18.68154169,95
282,13.45362405,44
282,31.01612484,78
283,21.02379604,143
283,-3,71
283,10.19803903,76
283,21.84032967,95
283,38.28837944,51
284,22.36067977,133
284,-2.236067977,71
284,10.19803903,92
284,21.84032967,104
285,25.49509757,189
285,16.2788206,104
285,3.605551275,57
285,28.01785145,77
285,-6.08276253,63
285,9.433981132,57
285,20.61552813,176
285,32.20248438,71
285,-24.0208243,87
285,-30.46309242,19
286,41.01219331,13
286,24.04163056,176
286,17.2626765,104
286,4.123105626,57
286,28.16025568,72
286,-6.32455532,57
286,9.433981132,57
286,21.9317122,176
286,32.01562119,79
286,-25.01999201,76
286,29.06888371,61
286,-31.01612484,15
287,32.24903099,35
287,41.03656906,22
287,24.75883681,176
287,18.11077028,95
287,5,64
287,-5.385164807,71
287,29.83286778,66
287,26.01922366,70
288,-32.75667871,52
288,26.2488095,176
288,21.02379604,114
288,7,64
288,-5.656854249,63
288,13.03840481,95
288,23.43074903,114
289,-33.28663395,48
289,25.61249695,176
289,22.09072203,104
289,-5,55
289,13.41640786,95
289,24.08318916,95
290,25.49509757,154
290,25.3179778,113
290,14.86606875,44
290,6.08276253,57
290,15.29705854,78
290,-5,63
290,24.08318916,104
290,-32.75667871,10
291,-29.06888371,24
291,24.08318916,154
291,25.70992026,113
291,14.31782106,57
291,5.830951895,71
291,-6.403124237,78
291,21.9317122,161
291,31.06444913,85
291,-27.07397274,59
292,-28.01785145,32
292,29.15475947,40
292,24.04163056,143
292,26.47640459,113
292,14.31782106,57
292,6.403124237,63
292,-7.810249676,71
292,22.6715681,133
292,32.20248438,99
292,-28.01785145,48
