trap,time,total_objs,mCell,dCell,exCell,com
10,296,1,1,NA,NA,26
10,297,1,1,NA,NA,27
10,298,1,1,NA,NA,28
10,299,1,1,NA,NA,29
10,300,1,1,NA,NA,30
10,301,1,1,NA,NA,31
10,302,1,1,NA,NA,32
10,303,1,1,NA,NA,33
10,304,1,1,NA,NA,34
10,305,1,1,NA,NA,35
10,306,1,1,NA,NA,36
10,307,1,1,NA,NA,37
10,308,1,1,NA,NA,38
10,309,1,1,NA,NA,39
10,310,1,1,NA,NA,40
10,311,1,1,NA,NA,41
10,312,1,1,NA,NA,42
10,313,1,1,NA,NA,43
10,314,1,1,NA,NA,44
10,315,1,1,NA,NA,45
10,316,1,1,NA,NA,46
10,317,1,1,NA,NA,47
10,318,1,1,NA,NA,48
10,319,1,1,NA,NA,49
10,320,1,1,NA,NA,50
10,321,1,1,NA,NA,51
10,322,1,1,NA,NA,52
10,323,1,1,NA,NA,53
10,324,1,1,NA,NA,54
10,325,1,1,NA,NA,55
10,326,1,1,NA,NA,56
10,327,1,1,NA,NA,57
10,328,1,1,NA,NA,58
10,329,1,1,NA,NA,59
10,330,1,1,NA,NA,60
10,331,1,1,NA,NA,61
10,332,1,1,NA,NA,62
10,333,1,1,NA,NA,63
10,334,1,1,NA,NA,64
10,335,1,1,NA,NA,65
10,336,1,1,NA,NA,66
10,337,1,1,NA,NA,67
10,338,1,1,NA,NA,68
10,339,1,1,NA,NA,69
10,340,1,1,NA,NA,70
10,341,1,1,NA,NA,71
10,342,1,1,NA,NA,72
10,343,1,1,NA,NA,73
10,344,1,1,NA,NA,74
10,345,1,1,NA,NA,75
10,346,1,1,NA,NA,76
10,347,1,1,NA,NA,77
10,348,1,1,NA,NA,78
10,349,1,1,NA,NA,79
10,350,1,1,NA,NA,80
10,351,1,1,NA,NA,81
10,352,1,1,NA,NA,82
10,353,1,1,NA,NA,83
10,354,1,1,NA,NA,84
10,355,1,1,NA,NA,85
10,356,1,1,NA,NA,86
10,357,1,1,NA,NA,87
10,358,1,1,NA,NA,88
10,359,1,1,NA,NA,89
10,360,1,1,NA,NA,90
10,361,1,1,NA,NA,91
10,362,1,1,NA,NA,92
10,363,1,1,NA,NA,93
10,364,1,1,NA,NA,94
10,365,1,1,NA,NA,95
10,366,1,1,NA,NA,96
10,367,1,1,NA,NA,97
10,368,1,1,NA,NA,98
10,369,1,1,NA,NA,99
10,370,1,1,NA,NA,100
10,371,1,1,NA,NA,101
10,372,1,1,NA,NA,102
10,373,1,1,NA,NA,103
10,374,1,1,NA,NA,104
10,375,1,1,NA,NA,105
10,376,1,1,NA,NA,106
10,377,1,1,NA,NA,107
10,378,1,1,NA,NA,108
10,379,1,1,NA,NA,109
10,380,1,1,NA,NA,110
10,381,1,1,NA,NA,111
10,382,1,1,NA,NA,112
10,383,1,1,NA,NA,113
10,384,1,1,NA,NA,114
10,385,1,1,NA,NA,115
10,386,1,1,NA,NA,116
10,387,1,1,NA,NA,117
10,388,1,1,NA,NA,118
10,389,1,1,NA,NA,119
10,390,1,1,NA,NA,120
10,391,1,1,NA,NA,121
