time,total_objs,dist,area
275,2,2.236067977,57
275,2,11.40175425,39
276,2,1,63
276,2,11.18033989,33
277,2,-1,51
277,2,8.246211251,44
278,2,1.414213562,55
278,2,10.19803903,44
279,2,1,55
279,2,10.19803903,39
280,2,-1,55
280,2,10.04987562,44
281,2,1.414213562,55
281,2,10.04987562,38
282,2,-1,50
282,2,8.544003745,44
283,2,-1,63
283,2,9.219544457,44
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,1,5,64
289,1,5,64
290,2,11.18033989,24
290,2,3.16227766,70
291,2,4,64
291,2,12.04159458,29
292,2,12.64911064,39
292,2,2.236067977,71
293,2,15.29705854,44
293,2,4,71
294,2,15.29705854,57
294,2,3.16227766,85
295,2,15.13274595,64
295,2,4.123105626,71
296,2,14.31782106,51
296,2,3.16227766,71
297,2,14.14213562,57
297,2,3,87
298,2,14.03566885,79
298,2,3,87
299,3,13.34166406,29
299,3,4.123105626,95
299,3,16.2788206,57
300,2,3.16227766,79
300,2,17.2626765,87
301,2,13.34166406,44
301,2,5,96
302,2,14.31782106,50
302,2,5,78
303,2,16.2788206,51
303,2,6,87
304,2,15.29705854,51
304,2,4,87
305,2,17.11724277,51
305,2,5.099019514,79
306,3,15.29705854,57
306,3,4.123105626,87
306,3,12.16552506,24
307,3,16.2788206,57
307,3,3.16227766,79
307,3,11.40175425,39
308,2,4.123105626,95
308,2,12.36931688,38
309,2,4.123105626,71
309,2,14.31782106,44
310,2,6,87
310,2,16.2788206,44
311,2,4,87
311,2,15.29705854,44
312,2,4.123105626,104
312,2,15.29705854,57
313,2,3,95
313,2,15.29705854,64
314,2,4,95
314,2,17.2626765,79
315,2,6.08276253,71
315,2,15.29705854,39
316,2,4,79
316,2,14.31782106,44
317,2,6.08276253,79
317,2,15.29705854,51
318,2,4.123105626,87
318,2,15.5241747,63
319,2,3.16227766,87
319,2,16.4924225,57
320,2,4.123105626,87
320,2,15.29705854,78
321,2,5.099019514,87
321,2,13.60147051,33
322,2,6,87
322,2,16.4924225,33
323,2,4.123105626,79
323,2,15.29705854,57
324,2,4.123105626,87
324,2,14.31782106,57
325,2,4,87
325,2,15.29705854,71
326,2,5.099019514,104
326,2,16.2788206,71
327,2,4.123105626,96
327,2,17.2626765,78
328,2,5.099019514,104
328,2,14.31782106,33
329,2,6.08276253,104
329,2,15.29705854,39
330,2,7.071067812,87
330,2,18.24828759,57
331,2,5.099019514,87
331,2,16.2788206,71
332,2,5.099019514,87
332,2,16.4924225,78
333,2,5.099019514,96
333,2,16.2788206,85
334,2,5.099019514,104
334,2,18.43908891,79
335,3,4.123105626,104
335,3,17.4642492,96
335,3,19.92485885,78
336,2,5.099019514,104
336,2,20.02498439,113
337,4,18.38477631,32
337,4,22.02271555,78
337,4,7,103
337,4,18.02775638,57
338,4,20.59126028,43
338,4,9.055385138,104
338,4,24.08318916,78
338,4,21.1896201,50
339,4,21.9317122,55
339,4,10.04987562,113
339,4,24.0208243,95
339,4,21.54065923,51
340,3,21.02379604,50
340,3,5,87
340,3,17.4642492,78
341,3,20.1246118,61
341,3,3.16227766,104
341,3,17.2626765,78
342,3,21.9544984,63
342,3,2,113
342,3,17.11724277,113
343,3,23.85372088,64
343,3,16,87
343,3,3,113
344,3,23.60084744,88
344,3,18.02775638,79
344,3,5.099019514,114
345,5,22.82542442,50
345,5,20.02498439,79
345,5,7,104
345,5,18.97366596,57
345,5,20.61552813,28
346,4,23.32380758,50
346,4,21.02379604,87
346,4,8.062257748,123
346,4,20.24845673,71
347,4,24.18677324,55
347,4,22.02271555,87
347,4,9.055385138,104
347,4,20.61552813,71
348,4,23.85372088,55
348,4,21.02379604,96
348,4,6,110
348,4,20.61552813,64
349,4,22.20360331,63
349,4,20,87
349,4,5.099019514,113
349,4,18.78829423,71
350,1,7.071067812,96
351,2,6.08276253,114
351,2,16.4924225,33
352,2,7.071067812,104
352,2,16.4924225,55
353,2,6,95
353,2,17.4642492,78
354,2,6.08276253,104
354,2,17.4642492,85
355,2,6.08276253,104
355,2,18.68154169,87
356,2,3.605551275,79
356,2,16.2788206,103
357,1,7.071067812,113
358,1,7,123
359,2,6,123
359,2,15.5241747,33
360,2,5.385164807,121
360,2,16.2788206,43
361,2,6,104
361,2,18.68154169,63
362,2,5,104
362,2,18.68154169,87
363,2,6.08276253,113
363,2,18.43908891,95
364,2,7,96
364,2,19.41648784,104
365,2,6,123
365,2,19.6468827,104
366,1,7.071067812,123
367,1,7,123
368,2,6,113
368,2,15.8113883,33
369,2,7.071067812,104
369,2,18.02775638,50
370,2,7.071067812,113
370,2,19.92485885,57
371,2,8,104
371,2,22.47220505,79
372,2,7.071067812,104
372,2,23.40939982,71
373,3,8.062257748,113
373,3,18.43908891,63
373,3,24.69817807,79
374,3,8,123
374,3,17.2626765,55
374,3,25.07987241,79
375,2,4.472135955,104
375,2,21.84032967,121
376,3,6.32455532,113
376,3,18.24828759,87
376,3,22.84731932,79
377,1,7.071067812,114
378,1,9.055385138,113
379,1,10.04987562,103
380,2,10.04987562,95
380,2,19.92485885,29
381,2,9.055385138,104
381,2,20.88061302,50
382,2,10.04987562,95
382,2,22.47220505,57
383,2,9.055385138,95
383,2,23.76972865,71
384,2,10.04987562,104
384,2,24.69817807,78
385,2,9.055385138,103
385,2,24.16609195,95
386,2,8.062257748,113
386,2,24.16609195,104
387,1,7,114
388,1,7,113
389,1,8,121
390,1,10.04987562,113
391,2,8,113
