Time,X,Y,Area
368,30,29,96
369,30,28,96
370,30,28,104
371,29,30,104
372,30,28,96
373,30,28,96
374,30,28,96
375,30,28,96
376,28,29,96
377,30,28,104
378,30,28,96
379,30,28,104
380,30,30,104
381,30,30,104
382,30,29,104
383,29,29,104
384,29,29,104
385,30,29,104
386,29,29,114
387,30,29,104
388,29,29,104
389,30,29,104
390,29,30,104
391,31,29,104
