,image_num,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,predecessorID,successorID
44353,19613,51,63,3,1,cell,97%,27,20,10,9,71,14.31782106,20.22374842,A,2,NA
44354,19613,51,63,3,2,cell,96%,29,31,10,10,79,3.16227766,31.01612484,A,2,2
44355,19613,51,63,3,3,cell,95%,28,42,7,8,44,-8.246211251,42.04759208,B,2,NA
44356,19614,51,64,2,1,cell,96%,30,28,10,9,71,6,28,A,2,NA
44357,19614,51,64,2,2,cell,95%,29,41,8,9,57,-7.071067812,41.01219331,B,2,2
44358,19615,51,65,2,1,cell,97%,29,30,11,10,87,4.123105626,30.01666204,A,2,NA
44359,19615,51,65,2,2,cell,95%,29,42,9,10,71,-8.062257748,42.01190308,B,2,2
44360,19616,51,66,2,1,cell,96%,29,29,11,10,87,5.099019514,29.01723626,A,2,NA
44361,19616,51,66,2,2,cell,96%,30,41,10,10,79,-7,41,B,2,2
44362,19617,51,67,2,1,cell,96%,28,29,11,10,87,5.385164807,29.06888371,A,2,NA
44363,19617,51,67,2,2,cell,95%,29,42,9,10,71,-8.062257748,42.01190308,B,2,2
44364,19618,51,68,2,1,cell,95%,29,42,8,12,76,-8.062257748,42.01190308,B,2,NA
44365,19618,51,68,2,2,cell,97%,30,29,10,10,79,5,29,A,2,2
44366,19619,51,69,2,1,cell,95%,29,28,10,8,63,6.08276253,28.01785145,A,2,3
44367,19619,51,69,2,2,cell,97%,29,38,7,7,39,-4.123105626,38.01315562,B,2,NA
44368,19620,51,70,3,1,cell,96%,27,20,9,8,57,14.31782106,20.22374842,A,1,NA
44369,19620,51,70,3,2,cell,97%,30,29,11,9,78,5,29,A,1,NA
44370,19620,51,70,3,3,cell,95%,29,40,7,7,39,-6.08276253,40.01249805,B,1,3
44371,19621,51,71,3,1,cell,96%,27,21,9,9,64,13.34166406,21.21320344,A,3,NA
44372,19621,51,71,3,2,cell,97%,30,31,11,10,87,3,31,A,3,NA
44373,19621,51,71,3,3,cell,95%,29,42,8,9,57,-8.062257748,42.01190308,B,3,3
44374,19622,51,72,3,1,cell,97%,27,20,9,9,64,14.31782106,20.22374842,A,3,3
44375,19622,51,72,3,2,cell,96%,29,30,11,10,87,4.123105626,30.01666204,A,3,NA
44376,19622,51,72,3,3,cell,95%,29,42,8,9,57,-8.062257748,42.01190308,B,3,NA
44377,19623,51,73,3,1,cell,96%,27,19,10,9,71,15.29705854,19.23538406,A,1,3
44378,19623,51,73,3,2,cell,95%,28,43,9,10,71,-9.219544457,43.0464865,B,1,NA
44379,19623,51,73,3,3,cell,97%,29,30,11,10,87,4.123105626,30.01666204,A,1,NA
44380,19624,51,74,3,1,cell,96%,27,19,10,9,71,15.29705854,19.23538406,A,1,NA
44381,19624,51,74,3,2,cell,95%,28,43,9,10,71,-9.219544457,43.0464865,B,1,2
44382,19624,51,74,3,3,cell,97%,29,30,11,10,87,4.123105626,30.01666204,A,1,NA
44383,19625,51,75,2,1,cell,97%,30,28,10,9,71,6,28,A,2,NA
44384,19625,51,75,2,2,cell,77%,31,38,6,6,29,-4.123105626,38.01315562,B,2,2
44385,19626,51,76,2,1,cell,97%,29,29,9,9,64,5.099019514,29.01723626,A,2,2
44386,19626,51,76,2,2,cell,96%,29,39,7,7,39,-5.099019514,39.01281841,B,2,3
44387,19627,51,77,3,1,cell,96%,27,21,9,9,64,13.34166406,21.21320344,A,1,NA
44388,19627,51,77,3,2,cell,96%,29,31,11,9,78,3.16227766,31.01612484,A,1,NA
44389,19627,51,77,3,3,cell,96%,29,42,8,8,51,-8.062257748,42.01190308,B,2,3
44390,19628,51,78,3,1,cell,95%,28,19,9,8,57,15.13274595,19.10497317,A,3,NA
44391,19628,51,78,3,2,cell,96%,30,30,10,10,79,4,30,A,3,NA
44392,19628,51,78,3,3,cell,96%,29,41,8,8,51,-7.071067812,41.01219331,B,3,3
44393,19629,51,79,3,1,cell,97%,30,30,11,11,96,4,30,A,3,4
44394,19629,51,79,3,2,cell,96%,29,42,8,9,57,-8.062257748,42.01190308,B,3,3
44395,19629,51,79,3,3,cell,96%,30,20,9,9,64,14,20,A,3,NA
44396,19630,51,80,4,1,cell,73%,24,22,5,5,20,13.41640786,22.8035085,A,2,4
44397,19630,51,80,4,2,cell,96%,28,43,10,10,79,-9.219544457,43.0464865,B,2,NA
44398,19630,51,80,4,3,cell,96%,29,30,10,10,79,4.123105626,30.01666204,A,2,NA
44399,19630,51,80,4,4,cell,96%,31,19,9,8,57,15.03329638,19.02629759,A,1,NA
44400,19631,51,81,4,1,cell,88%,26,21,6,6,29,13.60147051,21.37755833,A,1,4
44401,19631,51,81,4,2,cell,95%,28,42,9,10,71,-8.246211251,42.04759208,B,1,NA
44402,19631,51,81,4,3,cell,96%,29,30,10,10,79,4.123105626,30.01666204,A,1,NA
44403,19631,51,81,4,4,cell,96%,31,17,7,9,50,17.02938637,17.02938637,A,1,NA
44404,19632,51,82,4,1,cell,95%,27,21,6,7,33,13.34166406,21.21320344,A,1,2
