Time,X,Y
203,31,30
203,31,41
204,30,30
204,30,42
205,31,30
206,30,30
206,31,37
207,31,30
207,31,39
208,31,29
208,31,39
209,31,30
209,30,40
210,31,30
210,30,42
211,30,32
211,30,43
212,30,30
212,30,42
213,30,30
213,31,38
214,30,30
214,31,39
215,30,29
215,30,39
216,29,32
216,29,43
217,29,30
217,30,42
218,30,31
218,30,43
219,30,28
220,31,29
220,31,39
221,30,30
221,30,41
222,30,29
222,30,41
223,30,30
223,31,42
224,30,30
224,30,41
225,30,31
225,29,43
226,28,29
227,30,30
228,30,30
228,31,38
229,29,29
229,29,40
230,29,30
230,29,42
231,29,30
231,29,42
232,30,29
232,30,41
233,29,30
233,29,42
234,31,28
235,31,28
235,31,39
236,31,30
236,31,41
237,30,30
237,31,42
238,31,31
238,30,43
239,31,30
239,31,43
240,30,30
240,29,43
241,31,29
241,31,43
242,30,28
243,30,29
244,30,27
244,31,38
245,30,29
245,30,40
246,29,28
246,29,40
247,30,29
247,31,42
248,30,29
249,30,30
250,29,28
250,30,37
251,29,27
251,30,37
252,30,23
252,29,34
253,31,22
253,31,33
254,29,23
254,29,33
255,29,23
255,30,35
256,30,23
256,31,34
257,29,21
257,31,34
258,27,27
258,31,18
258,29,35
259,30,25
259,32,33
259,35,16
259,32,42
260,28,25
260,31,33
260,35,14
260,31,41
261,28,25
261,30,34
261,30,44
261,35,16
262,29,24
262,31,33
262,31,44
262,36,15
263,29,25
263,31,34
263,30,44
263,37,15
264,28,23
264,29,44
264,29,34
264,36,14
265,27,21
265,30,42
265,30,32
265,35,14
266,27,19
266,30,43
266,30,32
266,37,13
266,34,24
267,30,30
267,29,41
268,30,30
268,30,38
269,30,31
269,30,40
270,30,31
270,30,40
271,30,32
271,30,41
272,30,31
272,30,41
273,31,32
273,30,41
274,29,32
274,29,42
275,30,41
275,30,32
276,29,42
276,30,32
277,30,43
277,30,32
278,31,31
279,30,31
280,31,31
280,30,40
281,30,41
281,30,32
282,30,32
282,30,41
283,31,30
283,30,40
284,29,33
284,30,42
285,30,32
285,30,43
286,31,41
286,31,32
287,29,32
288,30,32
289,30,30
290,30,31
290,29,39
291,30,32
291,31,40
292,31,32
292,31,41
293,31,31
293,30,40
294,30,31
294,30,41
295,31,32
295,30,41
296,30,31
296,30,41
297,30,32
297,31,43
298,30,30
298,29,42
299,30,30
299,31,41
300,29,31
301,28,31
302,29,31
302,28,38
303,30,30
303,31,39
304,30,31
304,31,40
305,30,29
305,30,39
306,30,31
306,31,40
307,30,30
307,30,39
308,30,32
308,30,41
309,31,31
309,31,41
310,30,30
310,30,39
311,30,31
311,30,41
312,29,31
312,30,43
313,30,43
313,30,31
314,30,30
315,30,30
316,30,31
317,30,30
318,29,31
319,31,31
320,29,31
321,30,31
321,33,24
322,29,30
322,33,23
323,30,31
323,33,24
324,29,30
324,33,23
325,30,30
325,33,22
326,29,30
326,33,22
327,30,30
327,33,22
328,27,23
328,30,31
329,27,22
329,31,30
330,27,22
330,31,30
331,28,22
331,31,31
332,28,21
332,30,31
333,28,22
333,31,31
334,27,23
334,30,32
335,27,21
335,30,30
336,27,22
336,30,31
337,28,22
337,31,31
338,27,20
338,30,29
339,27,22
339,30,31
340,27,22
340,30,31
340,34,23
341,28,22
341,31,31
341,35,23
342,27,21
342,30,30
343,26,23
343,29,32
344,27,22
344,30,31
345,27,21
345,30,30
346,27,22
346,30,30
347,27,21
347,31,31
348,27,21
348,30,30
349,26,21
349,30,30
350,28,21
350,30,31
351,27,20
351,30,30
352,30,30
353,29,30
354,29,29
355,30,30
356,29,30
357,30,29
358,29,30
359,30,30
360,29,30
361,30,29
362,29,30
363,29,30
364,29,29
365,29,29
366,31,28
367,30,28
368,30,29
369,30,28
370,30,28
371,29,30
372,30,28
373,30,28
374,30,28
375,30,28
376,28,29
377,30,28
378,30,28
379,30,28
380,30,30
381,30,30
382,30,29
383,29,29
384,29,29
385,30,29
386,29,29
387,30,29
388,29,29
389,30,29
390,29,30
391,31,29
